Contract_Id,drug,dosage,pharmacy_id,pharm_company_id,quantity,date,price
1,Cleotrana,50,5,10,40,10/3/2023,100
2,Primalovir,500,5,10,20,9/26/2023,40.5
3,Kanulin,1000,4,9,20,9/20/2023,10.5
4,Olanzanafine,50,6,3,80,9/24/2023,150
5,Avafoxin,5,15,5,30,9/29/2023,18
6,Quixiposide,25,5,1,30,10/2/2023,12
7,Glucozepam Amcipentin,20,10,2,80,9/27/2023,145
8,Divisporine Acetaclotide,15,12,9,30,10/2/2023,42
9,Abnazole Toleluble,30,14,6,40,9/21/2023,45
10,Dantopex Quixilinum,100,14,8,20,9/26/2023,20
11,Olanzanafine,50,1,3,90,9/30/2023,160
12,Olanzanafine,75,2,3,40,9/23/2023,60
13,Olanzanafine,75,3,3,20,9/23/2023,35
14,Glucozepam Amcipentin,40,8,2,20,10/2/2023,14
15,Divisporine Acetaclotide,10,9,9,40,9/28/2023,68
16,Dantopex Quixilinum,100,13,8,50,9/30/2023,50
