id, name, address,phone
1, Springfield Pharmacy," 123 Main St,  Springfield,  IL 62701", (217) 555-1234
2, Peachtree Meds," 456 Elm St,  Atlanta, GA 30303", (404) 555-5678
3, Lone Star Drugs," 789 Oak St,  Dallas, TX 75201", (214) 555-9101
4, Mile High Meds," 101 Pine St, Denver, CO80202", (303) 555-1121
5, Emerald City Pharmacy," 121 Spruce St,  Seattle,  WA 98101", (206) 555-1314
6, Golden Gate Drugs," 234 Market St, San Francisco, CA 94105", (415) 555-1515
7, Sunshine Pharmacy," 345 Palm Ave, Miami, FL 33101", (305) 555-1616
8, Liberty Meds," 567 Broadway St, New York, NY 10001", (212) 555-1717
9, Lakeside Drugs," 678 Lake Rd,  Minneapolis, MN 55401", (612) 555-1818
10, Desert Bloom Pharmacy," 890 Desert Blvd, Phoenix, AZ 85001", (602) 555-1919
11, Bayside Pharmacy," 112 Harbor Dr, San Diego, CA 92101", (619) 555-2020
12, Capital Meds," 345 Capitol St, Washington, DC 20001", (202) 555-2121
13, Windy City Pharmacy," 567 Windy Ave, Chicago, IL 60601", (312) 555-2222
14, Beantown Drugs," 890 Beacon St, Boston,  MA 02101", (617) 555-2323
15, Gateway Meds," 123 Arch St, St. Louis, MO 63101", (314) 555-2424
